"Repository Name","Description"
"https://github.com/6wunderkinder/Java-WebSocket","A barebones WebSocket client and server implementation written in 100% Java."
"https://github.com/6wunderkinder/PocketSocket","Objective-C websocket library for building things that work in realtime on iOS and OS X."
"https://github.com/6wunderkinder/SolidNavigation","Routing and Navigation for stateless Universal Apps"
"https://github.com/6wunderkinder/StoreKISS","Lightweight wrapper for Apple's StoreKit framework created with KISS concept and love ❤."
"https://github.com/6wunderkinder/TURecipientBar","A UIView to handle entering recipients similar to iOS Mail"
"https://github.com/6wunderkinder/Wunder.ClickOnceUninstaller","An uninstaller for ClickOnce applications"
"https://github.com/6wunderkinder/bugsnag-notification-plugins","Notification plugins for the Bugsnag error tracker"
"https://github.com/6wunderkinder/clj-airbrake","Clojure client for the Airbrake API"
"https://github.com/6wunderkinder/composable-parser",
"https://github.com/6wunderkinder/nginx-to-librato","Flush metrics from the HTTP nginx status page to Librato metrics"
"https://github.com/6wunderkinder/onelinejson-clj",
"https://github.com/6wunderkinder/paranoia","acts_as_paranoid for Rails 3"
"https://github.com/6wunderkinder/pgbouncer-librato",
"https://github.com/6wunderkinder/postgres-librato","Publishes statistics from PostgreSQL's pg_stat tables to Librato."
"https://github.com/6wunderkinder/sortedindex-compare","A fork of underscore/lodash.sortedIndex to use a comparison function instead of a ranking function."
"https://github.com/6wunderkinder/watership","Wrapper around the Bunny gem to handle some connection issues."
"https://github.com/6wunderkinder/web-essentials","The tools
"https://github.com/6wunderkinder/wunderlist-chrome-extension","Wunderlist for Chrome"
"https://github.com/6wunderkinder/wunderlist-firefox-extension","Wunderlist for Firefox"
"https://github.com/6wunderkinder/wunderlist-go-testing","A rudimentary testing framework written in Go. Hopefully this will grow big and strong someday!"
"https://github.com/6wunderkinder/wunderlist-safari-extension","Wunderlist for Safari"
"https://github.com/Azure-Readiness/Academic",
"https://github.com/Azure-Readiness/AndroidCamp",
"https://github.com/Azure-Readiness/AppServiceCamp",
"https://github.com/Azure-Readiness/CloudDataCamp","Cloud Data Camp content"
"https://github.com/Azure-Readiness/DEMO-ConnectingCloudServices","Demonstrates how to connect cloud services using a virtual network. Scenario is a PaaS app communicating with a virtual machine."
"https://github.com/Azure-Readiness/DEMO-DeployingAD","Demonstration that shows how to deploy virtual machines into an Active Directory environment."
"https://github.com/Azure-Readiness/DEMO-DeployingHybrid","Deploying a site to site Windows Azure Virtual Network with a Cisco ASA 5505 (Click Through)"
"https://github.com/Azure-Readiness/DEMO-GettingStartedVMs","Getting Started with Virtual Machines"
"https://github.com/Azure-Readiness/DEMO-ImagingVMs","Demonstration on Imaging Virtual Machines"
"https://github.com/Azure-Readiness/DEMO-LoadBalancingAvailability","Demonstration that shows how to configure load balancing and availability sets. "
"https://github.com/Azure-Readiness/DEMO-MigrateVMAppController","Demonstration of using AppController to migrate a SharePoint VM to the cloud with a hybrid network (Click Through)."
"https://github.com/Azure-Readiness/DEMO-MigratingWebFarm","This demo shows how you can easily migrate an application that runs in a web farm environment to Windows Azure."
"https://github.com/Azure-Readiness/DEMO-ScaleUpDown","Demo that shows how to use PowerShell to import and export virtual machines on a schedule to save money."
"https://github.com/Azure-Readiness/DEMO-UsingCSUpload","Using CSUpload to upload VHDs to a Windows Azure Storage Account and attach them to a Virtual Machine"
"https://github.com/Azure-Readiness/DEMO-WindowsAzureWebSitesITPro",
"https://github.com/Azure-Readiness/Demo-AndroidAndMobileServices",
"https://github.com/Azure-Readiness/Demo-BuildClips","In this demo we will show how to build and deploy an ASP.NET Web site that enables users to browse
"https://github.com/Azure-Readiness/Demo-CloudSurvey",
"https://github.com/Azure-Readiness/Demo-ContosoExpenseReporting",
"https://github.com/Azure-Readiness/Demo-EventBuddy","In this demo you will start with a disconnected application that manages events and sessions to later connect it utilizing Windows Azure Mobile Services to provide structured storage for events and sessions. In order to use authentication within the application
"https://github.com/Azure-Readiness/Demo-EventBuddy-iOS","An iOS app that functions as a component of the full Event Buddy demonstration."
"https://github.com/Azure-Readiness/Demo-Geolocation-Android-Client",
"https://github.com/Azure-Readiness/Demo-Geolocation-PHP-Service",
"https://github.com/Azure-Readiness/Demo-Geolocation-iOS-Client",
"https://github.com/Azure-Readiness/Demo-HelloASP",
"https://github.com/Azure-Readiness/Demo-HelloWorldWSCS",
"https://github.com/Azure-Readiness/Demo-SBMessageMe",
"https://github.com/Azure-Readiness/Demo-ServiceBusRelay",
"https://github.com/Azure-Readiness/Demo-TwitterReader",
"https://github.com/Azure-Readiness/Demo-UrlShortener-Android-Client",
"https://github.com/Azure-Readiness/Demo-UrlShortener-PHP","This repo houses a URL Shortening service written in PHP for Windows Azure Websites. "
"https://github.com/Azure-Readiness/Demo-UrlShortener-iOS-Client",
"https://github.com/Azure-Readiness/Demo-WeatherService","Documentation for The WeatherService Demo created using Windows Azure Job Scheduler SDK."
"https://github.com/Azure-Readiness/Demo-Windows8AndMobileServices",
"https://github.com/Azure-Readiness/Demo-WindowsPhoneAndMobileServices","DemoScript for Deck Developing Windows Phone apps using Windows Azure Mobile Services"
"https://github.com/Azure-Readiness/Demo-iOSandMobileServices",
"https://github.com/Azure-Readiness/DevCamp",
"https://github.com/Azure-Readiness/DevCamps-Windows8AndWindowsAzureMobileServices",
"https://github.com/Azure-Readiness/Fireworks","Play virtual fireworks with your friends together over Internet using SignalR
